대상,설명변수,범위,n,r,p
선명도 유지율,시점각,전체(A+B),216,-0.571,0.0
선명도 유지율,시점각,셋업A 안,154,0.269,0.0006
선명도 유지율,시점각,셋업B 안,62,-0.046,0.7189
선명도 유지율,깊이 폭,전체(A+B),216,-0.598,0.0
선명도 유지율,깊이 폭,셋업A 안,154,0.271,0.0005
선명도 유지율,깊이 폭,셋업B 안,62,-0.085,0.5074
선명도 유지율,평면 설명력,전체(A+B),216,0.387,0.0
선명도 유지율,평면 설명력,셋업A 안,154,-0.083,0.305
선명도 유지율,평면 설명력,셋업B 안,62,0.034,0.79
Action 오차,시점각,전체(A+B),216,0.513,0.0
Action 오차,시점각,셋업A 안,154,-0.003,0.9717
Action 오차,시점각,셋업B 안,62,-0.149,0.2423
Action 오차,깊이 폭,전체(A+B),216,0.537,0.0
Action 오차,깊이 폭,셋업A 안,154,-0.084,0.2964
Action 오차,깊이 폭,셋업B 안,62,0.163,0.1994
Action 오차,평면 설명력,전체(A+B),216,-0.445,0.0
Action 오차,평면 설명력,셋업A 안,154,-0.12,0.136
Action 오차,평면 설명력,셋업B 안,62,-0.175,0.1679
