dataset,episode_index,length
00ri/so100_battery_bin_center,3,1
Chojins/chess_game_000_white_red,57,1
Chojins/chess_game_009_white,334,1
Chojins/chess_game_009_white,338,1
Chojins/chess_game_009_white,340,1
DorayakiLin/so100_pick_charger_on_tissue,1,1
FeiYjf/new_GtoR,156,1
HITHY/so100_peach4,53,1
HITHY/so100_peach4,118,1
HITHY/so100_peach4,178,15
HITHY/so100_peach4,179,14
HITHY/so100_peach4,181,14
HITHY/so100_peach4,272,1
HITHY/so100_peach4,323,1
HITHY/so100_strawberry,54,1
Ityl/so100_recording2,2,1
Odog16/so100_cube_drop_pick_v1,10,1
Odog16/so100_cube_drop_pick_v1,11,1
Odog16/so100_cube_drop_pick_v1,14,1
ZGGZZG/so100_drop0,20,13
dragon-95/so100_sorting_2,163,1
isadev/bougies3,160,1
isadev/bougies3,188,1
jlesein/TestBoulon7,195,1
jlesein/TestBoulon7,305,1
jlesein/TestBoulon7,336,1
lirislab/red_cube_into_blue_cube,2,1
lirislab/so100_demo,7,5
lirislab/so100_demo,16,1
liuhuanjim013/so100_th,13,1
pranavsaroha/so100_carrot_5,21,13
pranavsaroha/so100_legos4,55,8
sihyun77/sihyun_3_17_5,22,1
tkc79/so100_lego_box_2,30,1
