dataset,n_frames_probed,pitch_med,pitch_p25,pitch_p75,pitch_iqr,pitch_med_fov50,pitch_med_fov70,plane_inlier_med,depth_p50_med,frac_in_B_band,n_episodes,n_frames,eye,auto,like_setup
Gano007/so100_medic,24,0.8959026192794446,0.7884059025528105,1.0541366935046983,0.2657307909518878,1.0495024916984004,0.6926617278139142,0.5619419642857143,1.4359411001205444,0.0,50,3599,T,top_down,A류(내려다봄)
frk2/so100large,24,3.465875387345722,2.3866763779588074,4.881142313042678,2.4944659350838703,3.927969351529276,3.0532466866383885,0.5881696428571428,1.645924299955368,0.0,50,3000,T,top_down,A류(내려다봄)
VoicAndrei/so100_banana_to_plate_only,24,3.99959887639672,2.391441590064848,6.204936328340553,3.813494738275705,4.376173400605161,3.1471018142227223,0.43043154761904756,0.932510569691658,0.0,120,6262,L,top_down,A류(내려다봄)
lirislab/close_top_drawer_teabox,24,4.049297484095448,2.5357295689957984,6.489634815709019,3.9539052467132207,5.146966380439015,3.5582298214237276,0.6610863095238095,1.296710342168808,0.0,30,1113,T,top_down,A류(내려다봄)
Beegbrain/pick_place_green_block,24,4.285262786336244,3.189728215876208,6.942239097180889,3.752510881304681,5.025438681516956,3.4805357865323563,0.49640376984126977,0.8143135011196136,0.0,40,3466,?,top_down,A류(내려다봄)
ad330/cubePlace,24,5.2537289239416225,4.409311733549948,7.369798502646921,2.960486769096973,7.241871879740989,4.721945768026734,0.4195188492063492,0.8782908469438553,0.0,50,3000,L,top_down,A류(내려다봄)
samsam0510/cube_reorientation_2,24,5.555330926088512,4.95149811799383,7.527922698537477,2.576424580543647,6.4190927279386,4.658364380498048,0.5553695436507937,1.9125153422355652,0.0,182,23188,T,top_down,A류(내려다봄)
shreyasgite/so100_base_env,24,5.642395874763958,2.9314222048338117,8.575327833152652,5.643905628318841,6.381464219400588,4.107246180994855,0.35825892857142855,1.4114408791065216,0.0,252,19901,T,top_down,A류(내려다봄)
sihyun77/mond_1,24,6.264782041675998,5.220723416855423,10.539495874793058,5.318772457937635,8.815662388957389,5.405299206313316,0.6197916666666667,1.242869645357132,0.0,30,3495,T,top_down,A류(내려다봄)
Beegbrain/pick_lemon_and_drop_in_bowl,24,6.3017112060164955,3.230735187490074,10.201299678165359,6.970564490675285,7.5349964148811175,5.020840609600137,0.4070560515873015,0.794147789478302,0.0,40,3087,L,top_down,A류(내려다봄)
sihyun77/suho_3_17_1,24,6.579851110912539,5.543045519206451,7.171509279894046,1.6284637606875947,8.30502240231209,5.292704066024532,0.6202876984126984,1.3044463396072388,0.0,30,5224,T,top_down,A류(내려다봄)
isadev/bougies3,24,7.044955591049648,4.412142137082108,8.974072201513977,4.561930064431869,8.40374281993624,5.670206241874477,0.5315600198412698,1.0876461267471313,0.0,200,12940,L,top_down,A류(내려다봄)
mikechambers/block_cup_14,24,7.176361917504016,4.930398569939684,8.493449220673337,3.5630506507336532,8.890128748652018,6.0039836260195285,0.5054563492063493,0.7545780837535858,0.0,50,4500,T,top_down,A류(내려다봄)
shreyasgite/so100_legocube_50,24,7.540616384920003,6.132179632692992,8.08901484460606,1.9568352119130683,8.6323786937541,5.500433134022668,0.392609126984127,1.020914375782013,0.0,50,4171,T,top_down,A류(내려다봄)
tkc79/so100_lego_box_1,24,7.575168414459993,5.854288984816864,10.83995366386947,4.985664679052605,9.59881759913079,6.580331914181276,0.46155753968253965,1.787266492843628,0.0,104,9360,T,top_down,A류(내려다봄)
