dataset,band,uploader,n_samples,pitch,gen_ratio,gt_ratio,gen_mae,gt_floor,mae_above_floor,motion,input_sharp,norm_ratio,log_sharp
356c/so100_duck_reposition_1,top_down,356c,4,11.23641570943012,0.33178924030908663,1.0260428783965239,1.2082539498806,0.8968578279018402,0.31139612197875977,297.8793258666992,2423.855302076131,0.3233678117113382,7.793114651544474
AndrejOrsula/lerobot_double_ball_stacking_random,mid,AndrejOrsula,4,26.41361548061053,0.8651260714713795,1.0085766436171253,1.543447583913803,1.6505562365055084,-0.10710865259170527,374.33161640167236,120.7687344598002,0.8577692899656297,4.793877431303839
Bartm3/dice2,mid,Bartm3,4,36.6558578511176,0.5019874521324217,0.9368439077918163,1.316091611981392,1.1685174405574799,0.14757417142391202,413.52921295166016,156.703919147412,0.5358282718789611,5.054358159562376
CSCSXX/pick_place_cube_1.18,mid,CSCSXX,4,35.8344118389633,0.5982281160923384,0.8197017337397285,1.0176686346530914,1.3281019181013107,-0.31043328344821924,342.5291316509247,170.70482268524967,0.7298119443557107,5.13993588180464
FeiYjf/new_GtoR,side,FeiYjf,4,63.314307583031486,0.5118631412213285,0.90570939621752,0.6047964170575142,0.6351599097251892,-0.03036349266767503,308.40584564208984,335.68063450185724,0.5651516296054818,5.81616021540472
Gano007/so100_medic,top_down,Gano007,4,0.8959026192794446,0.6902263499227945,1.116317088875159,1.2923516035079956,1.3571075201034546,-0.06475591659545893,410.48205757141113,81.23401522463693,0.618306713031054,4.397334066158065
Ityl/so100_recording2,top_down,Ityl,4,11.530535598372085,0.8174678748119757,1.0427281809971534,1.2390044927597046,1.2822915017604828,-0.04328700900077817,385.4778277873993,43.23398840349516,0.7839702519886219,3.7666269545093174
Mwuqiu/so100_0408_muti,side,Mwuqiu,4,75.96164340210129,0.5043842591377973,0.8802456182347971,1.3486301600933075,1.3439926207065582,0.004637539386749299,311.5912780761719,129.56420863229965,0.5730039987580575,4.86417657781613
Odog16/so100_cube_stacking_v1,top_down,Odog16,4,14.280536559308068,0.3210042943350311,0.9379893497807719,0.9397227168083191,0.889859214425087,0.04986350238323213,357.04558753967285,1097.2184950018086,0.3422259478852896,7.000533615466956
bensprenger/chess_game_001_blue_stereo,side,bensprenger,4,62.93866392899136,0.4724381231661228,0.9986622285329626,1.367717683315277,1.6197616159915924,-0.2520439326763153,306.89476108551025,395.0903569333818,0.47307098403044207,5.979114490471515
dragon-95/so100_sorting_2,mid,dragon-95,4,26.034667554899457,0.37731231237841056,0.9047325600056078,1.1772800981998444,1.2090916633605957,-0.03181156516075135,660.771484375,745.733411919713,0.417042924127846,6.61436817966066
frk2/so100large,top_down,frk2,4,3.465875387345722,0.5577976031554825,1.0320476255379922,1.1203930079936981,1.1629586070775986,-0.04256559908390047,320.9248390197754,526.4531919626527,0.540476611110568,6.266162423467316
frk2/so100largediffcam,mid,frk2,4,31.97842661137241,0.5768516923067899,1.0191462333105699,1.1623708307743073,1.186296671628952,-0.023925840854644775,287.8016586303711,926.7594654135016,0.5660146438779045,6.8316940555352
ganker5/so100_dataline_20250331,mid,ganker5,4,25.39174223796516,0.6400784844196853,0.8998881429346731,1.1664511561393738,1.1213079988956451,0.045143157243728624,208.32035064697266,79.21654012288253,0.7112867187384992,4.372185116951742
jlesein/TestBoulon7,mid,jlesein,4,26.24695182725172,0.6438704511516669,0.8807320953727535,1.023788958787918,1.0923332124948502,-0.06854425370693201,451.43602097034454,588.1369220689377,0.731062776676897,6.37695978145225
koenvanwijk/orange50-1,side,koenvanwijk,4,63.35405699024052,0.36217430864571853,0.9636735513844537,1.2707946300506592,1.2868839502334595,-0.016089320182800296,415.98968505859375,926.1213113788049,0.37582676013615174,6.831005231874312
koenvanwijk/orange50-variation-2,side,koenvanwijk,4,64.85584643452418,0.316767935427282,0.9365008132319668,1.3052673935890198,1.3762957751750946,-0.0710283815860748,446.43505477905273,889.0710314288616,0.3382463004320105,6.790177132691963
lirislab/close_top_drawer_teabox,top_down,lirislab,4,4.049297484095448,0.7267436417964119,0.6758896917942487,1.483523041009903,1.4554281830787659,0.02809485793113705,360.2416868209839,37.028755158752865,1.0752400141910197,3.6116947772595323
lirislab/open_top_drawer_teabox,top_down,lirislab,4,7.951162129156478,0.8270305417533674,0.7675092012936193,1.2976740896701813,1.353420227766037,-0.05574613809585568,469.61826860904694,27.332238113188744,1.0775513053907708,3.3080668887636784
lirislab/put_coffee_cap_teabox,mid,lirislab,4,26.96662486569349,0.8118803541156231,0.9567386880092689,1.009598284959793,0.9384710639715195,0.07112722098827359,370.48565101623535,57.085955756160956,0.8485915373663218,4.044558127672919
lirislab/so100_demo,side,lirislab,4,86.18551938716652,0.6297935796449461,1.1486355844867542,1.2716065049171448,1.3274137079715729,-0.055807203054428045,331.2075538635254,85.592740048488,0.5482971171630185,4.449600467033248
lirislab/sweep_tissue_cube,side,lirislab,4,85.82240037514103,0.5823416860572979,0.7049204973166563,1.3105772137641907,1.397331565618515,-0.0867543518543243,407.2412109375,118.63910677392217,0.8261097361674603,4.776086168923403
paszea/so100_whale_3,side,paszea,4,59.4086393145018,0.43620339846448924,0.6915903680998692,1.212609887123108,1.3035709261894226,-0.09096103906631466,345.9407212138176,504.3204981336566,0.63072509188199,6.223211974962269
paszea/so100_whale_4,side,paszea,4,60.43018076227061,0.5003598332570007,0.7766905558654346,1.400816261768341,1.382572501897812,0.018243759870529203,466.51875925064087,426.00296083935365,0.6442203133260327,6.054446296572339
pierfabre/pig2,side,pierfabre,4,56.35343099373553,0.5607322595769475,1.0982408162987853,1.3087506890296936,1.4440147578716278,-0.13526406884193415,402.0901527404785,164.96063027107718,0.5105731377446782,5.105706841012304
pierfabre/sheep,side,pierfabre,4,58.88280832295197,0.5103793527686975,1.1300095904603051,1.3240504264831543,1.5679728984832764,-0.24392247200012201,404.2912139892578,173.16055510799617,0.4516593107504481,5.1542192283205255
pietroom/actualeasytask,side,pietroom,4,60.01151162775327,0.4992051866086626,0.956419419451509,0.9455838352441788,0.9824440777301789,-0.036860242486000026,365.14434814453125,773.8742691703637,0.5219521649768976,6.651409417462099
roboticshack/left-arm-grasp-lego-brick,top_down,roboticshack,4,11.523048317621186,0.399770703237099,0.9451473585996728,1.701354205608368,1.59029221534729,0.11106199026107783,322.822265625,256.80802774557276,0.42297182508069214,5.548328832018684
roboticshack/team-7-left-arm-grasp-motor,top_down,roboticshack,4,8.903432063294307,0.39985058312967053,0.9071361774490634,1.5141479074954987,1.4913888275623322,0.022759079933166525,406.41845703125,261.60039074708624,0.4407834160622731,5.566818113263451
roboticshack/team13-three-balls-stacking,mid,roboticshack,4,33.084795810069,0.49033369445376057,0.9437856128140586,1.670403778553009,1.7263665795326233,-0.05596280097961423,389.4217224121094,454.2129667391857,0.519539276501309,6.118566177787042
roboticshack/team13-two-balls-stacking,mid,roboticshack,4,30.84118115044246,1.2186540793831162,0.9092532082266646,1.4191343784332275,1.405611664056778,0.01352271437644955,363.3694076538086,125.90672230736413,1.3402802083699903,4.835541333646846
roboticshack/team9-pick_chicken_place_plate,side,roboticshack,4,76.62829925918774,0.3397499422902671,0.9450240054847652,1.1790514290332794,1.1343332827091217,0.04471814632415773,495.31925201416016,481.2399187739135,0.35951461583876587,6.176365937380324
samsam0510/cube_reorientation_2,top_down,samsam0510,4,5.555330926088512,0.5154506940011945,0.7927321393864338,1.1474521160125732,1.1583401560783386,-0.01088804006576535,380.98388671875,219.76576581069625,0.6502205075224372,5.392562278295297
samsam0510/tooth_extraction_3,mid,samsam0510,4,29.595459609483527,0.6424979896484566,1.0918949327006287,1.1106630861759186,1.0851145088672638,0.02554857730865475,332.8834991455078,98.15997834116087,0.5884247379547224,4.586598579754312
samsam0510/tooth_extraction_4,mid,samsam0510,4,25.70325560689772,0.8230879425610428,0.9506505258014879,0.9986709356307983,0.998308539390564,0.0003623962402343958,429.1739807128906,97.62689336328505,0.8658154813169667,4.581153002217982
shreyasgite/so100_legocube_50,top_down,shreyasgite,4,7.540616384920003,0.5508633028924208,0.7006377830225469,1.3604533672332764,1.3471558690071106,0.013297498226165777,344.1706085205078,952.6181394310079,0.7862312256641372,6.859214130208356
sihyun77/mond_1,top_down,sihyun77,4,6.264782041675998,0.43478064040209774,0.5975010093810774,1.1641579866409302,1.1831318140029907,-0.018973827362060526,529.8265228271484,120.03095071491134,0.7276651144948962,4.7877496321499855
sihyun77/suho_3_17_1,top_down,sihyun77,4,6.579851110912539,0.5266203490773613,0.9151868441147597,1.531975269317627,1.5133887231349945,0.01858654618263245,490.90721398591995,279.8824709412098,0.5754238628580263,5.634369768412434
therarelab/so100_pick_place_2,side,therarelab,4,75.34040160832555,0.2387254430887262,0.9241990511861559,1.3826098889112473,1.450443297624588,-0.06783340871334073,375.5178680419922,1385.947531084498,0.2583052241639244,7.234139322672887
tkc79/so100_lego_box_1,top_down,tkc79,4,7.575168414459993,0.5326857200831498,0.543610289925175,1.1959058046340942,1.170462042093277,0.025443762540817247,463.0405731201172,97.87600667140484,0.9799036735608355,4.583701439534241
tkc79/so100_lego_box_2,mid,tkc79,4,28.29372066792561,0.4479499340767371,0.6613506637713612,1.219534546136856,1.3049815595149994,-0.08544701337814332,384.3529510498047,170.49517725081444,0.6773259007896,5.1387070104045405
triton7777/so100_dataset_mix,mid,triton7777,4,29.38106211869899,0.818759331834998,1.086374682129705,1.0500548183918,0.9432960450649261,0.10675877332687378,593.3590545654297,141.97051224184037,0.7536620148675781,4.955619375768152
