sample_id,band,dataset,uploader,pitch_med,episode_index,start,ep_length,motion_deg,input_sharpness,codec,eye
vp_00000,top_down,Gano007/so100_medic,Gano007,0.8959026192794446,0,9,72,405.27598571777344,69.85501001040143,h264,T
vp_00001,top_down,Gano007/so100_medic,Gano007,0.8959026192794446,16,50,72,367.87908935546875,85.10191750382319,h264,T
vp_00002,top_down,Gano007/so100_medic,Gano007,0.8959026192794446,33,7,72,325.17623138427734,84.8521970280965,h264,T
vp_00003,top_down,Gano007/so100_medic,Gano007,0.8959026192794446,49,8,72,543.596923828125,85.12693635622661,h264,T
vp_00004,top_down,frk2/so100large,frk2,3.465875387345722,0,19,60,199.99171447753906,390.6342816119724,av1,T
vp_00005,top_down,frk2/so100large,frk2,3.465875387345722,16,22,60,401.18634033203125,480.1378879311456,av1,T
vp_00006,top_down,frk2/so100large,frk2,3.465875387345722,33,29,60,325.1776123046875,645.5907208485497,av1,T
vp_00007,top_down,frk2/so100large,frk2,3.465875387345722,49,44,60,357.34368896484375,589.4498774589432,av1,T
vp_00008,top_down,lirislab/close_top_drawer_teabox,lirislab,4.049297484095448,0,20,44,363.6913757324219,53.69175649379093,h264,T
vp_00009,top_down,lirislab/close_top_drawer_teabox,lirislab,4.049297484095448,10,9,35,352.96875,28.124714319006603,h264,T
vp_00010,top_down,lirislab/close_top_drawer_teabox,lirislab,4.049297484095448,19,4,41,381.357421875,36.501367675770666,h264,T
vp_00011,top_down,lirislab/close_top_drawer_teabox,lirislab,4.049297484095448,29,7,34,342.9491996765137,29.79718214644326,h264,T
vp_00012,top_down,samsam0510/cube_reorientation_2,samsam0510,5.555330926088512,0,97,116,498.955078125,209.2125445128971,h264,T
vp_00013,top_down,samsam0510/cube_reorientation_2,samsam0510,5.555330926088512,60,107,124,293.5546875,205.2579215977033,h264,T
vp_00014,top_down,samsam0510/cube_reorientation_2,samsam0510,5.555330926088512,121,58,80,397.08984375,243.10407564273405,h264,T
vp_00015,top_down,samsam0510/cube_reorientation_2,samsam0510,5.555330926088512,181,68,85,334.3359375,221.4885214894506,h264,T
vp_00016,top_down,sihyun77/mond_1,sihyun77,6.264782041675998,0,30,115,448.87664794921875,149.915856207784,av1,T
vp_00017,top_down,sihyun77/mond_1,sihyun77,6.264782041675998,10,43,117,541.2066650390625,127.89753685913082,av1,T
vp_00018,top_down,sihyun77/mond_1,sihyun77,6.264782041675998,19,43,117,617.234375,137.67582986745833,av1,T
vp_00019,top_down,sihyun77/mond_1,sihyun77,6.264782041675998,29,52,116,511.9884033203125,64.6345799252722,av1,T
