sample,bin,sharp_f0,sharp_f15,sharp_ratio,dino_pf,video,action,total_pf
vpA__vladfatu__so100_office__ep000000__t0052,A,511.43140501816856,256.34270303714885,0.5012259718936155,0.6183238615694947,0.2889590528875474,1.3837836980819702,0.8256983535699007
vpA__vladfatu__so100_office__ep000001__t0052,A,444.10444588897724,282.46489755259336,0.6360325823516016,0.6289061624460743,0.2900033426853438,0.7638875842094421,0.5812278852232023
vpA__vladfatu__so100_office__ep000002__t0052,A,423.593980211187,257.3624420686182,0.6075686957125962,0.6147265125323211,0.2608607037512853,0.8720865845680237,0.6115107987122914
vpA__Gano007__so100_medic__ep000000__t0028,A,338.81468804936424,172.84433872445678,0.5101441726731573,0.5363573182773509,0.1523498292804641,0.7769176363945007,0.5173791988251448
vpA__Gano007__so100_medic__ep000001__t0028,A,334.9179785696371,208.6760566967936,0.6230661536535134,0.5748513544504026,0.1898069865185339,0.8420622944831848,0.5662224200839548
vpA__Gano007__so100_medic__ep000002__t0028,A,290.4472330533698,148.47758467927412,0.511203302294814,0.463660842675995,0.176703749456474,1.5420068502426147,0.8089121177367866
vpA__356c__so100_duck_reposition_1__ep000000__t0081,A,1146.9237276447539,391.9839030937448,0.3417698087898982,0.6065657662453405,0.1475564915795386,1.2500967979431152,0.7262753965247098
vpA__356c__so100_duck_reposition_1__ep000001__t0068,A,1210.6539141468181,441.02283648349396,0.36428481445442246,0.5805244933148467,0.1524960802404525,1.2428709268569946,0.7170545428093876
vpA__356c__so100_duck_reposition_1__ep000002__t0072,A,1203.532668111749,476.1005622519286,0.39558590711035213,0.5843055778918417,0.1566181370179281,1.0897074937820437,0.6581601119857483
vpA__roboticshack__team13-two-balls-stacking__ep000000__t0025,A,107.07695750237095,204.53014640903353,1.9101228796541472,0.6530371078334072,0.2296863898181838,0.821038544178009,0.5932324669666809
vpA__roboticshack__team13-two-balls-stacking__ep000001__t0021,A,111.39730036971297,162.75005733750393,1.4609874458120433,0.6571937814956131,0.2354737200827218,1.006975769996643,0.6705905584721576
vpA__roboticshack__team13-two-balls-stacking__ep000002__t0024,A,127.45347780159906,204.8333098385248,1.607122170156701,0.6759210953183683,0.2306676493687081,0.94020414352417,0.6480582808157909
vpA__bensprenger__right_arm_p_brick_in_box_with_y_noise_v0__ep000000__t0052,A,398.1729972583733,176.68766675096734,0.4437459796810762,0.4390344698154945,0.2613614181801106,1.2151368856430054,0.6961735206558837
vpA__bensprenger__right_arm_p_brick_in_box_with_y_noise_v0__ep000001__t0052,A,368.9376744831143,205.37611211001428,0.5566688530732148,0.5448478918300177,0.2149528619004596,1.1201194524765017,0.6759880071097437
vpA__bensprenger__right_arm_p_brick_in_box_with_y_noise_v0__ep000002__t0052,A,405.8647989629763,166.4214315089162,0.41004155062015485,0.4472081300963266,0.2310288304028782,1.1708317995071411,0.6718038079526178
vpA__jpata__so100_pick_place_tangerine__ep000000__t0022,A,689.5246513633696,287.81175430966965,0.4174060401475001,0.6060093268423355,0.2322655931686834,1.3502963781356812,0.7916010272575782
vpA__jpata__so100_pick_place_tangerine__ep000001__t0020,A,635.2753672089954,368.2397749530167,0.5796537910336947,0.5690533918229723,0.1637393844411914,1.6126327514648438,0.8648909334651866
vpA__jpata__so100_pick_place_tangerine__ep000002__t0016,A,602.6962611891311,317.1202990034112,0.5261693483509038,0.503123482737527,0.2125799895603887,1.481103539466858,0.8071524574761179
vpB__DorayakiLin__so100_pick_charger_on_tissue__ep000000__t0078,B,588.7873063732291,264.0680622505748,0.44849482893434445,0.5810890487808011,0.1677955839574106,0.9395423531532288,0.6004823310827551
vpB__DorayakiLin__so100_pick_charger_on_tissue__ep000002__t0046,B,555.0362893086923,363.41545226455406,0.6547598044754778,0.6876308217157049,0.2051251439024597,1.0583256483078003,0.6911570490085694
vpB__DorayakiLin__so100_pick_charger_on_tissue__ep000003__t0051,B,601.7556335451715,375.268995407704,0.6236235682528662,0.4563002624002269,0.1331653458512057,1.1675047874450684,0.6438415974534571
vpB__pandaRQ__pick_med_1__ep000000__t0025,B,831.6717514625369,302.6611951434504,0.3639190517306923,0.510878970209885,0.1604798351228925,0.7261514067649841,0.4918682043058269
vpB__pandaRQ__pick_med_1__ep000001__t0034,B,794.7449161956188,253.9393707133145,0.3195231143206329,0.5350390629736018,0.1711835343782958,0.6268166899681091,0.462593455192813
vpB__pandaRQ__pick_med_1__ep000002__t0031,B,845.0801763661308,281.86996597915396,0.33354227665261654,0.5137797362561135,0.1700224730858064,0.8620371222496033,0.5499555117024173
vpB__pietroom__holdthis__ep000000__t0037,B,580.2144559743158,243.90328917011263,0.4203674807800884,0.6218623774387384,0.2075454169268659,1.9194148778915403,1.0165882894662976
vpB__pietroom__holdthis__ep000001__t0037,B,546.4588200161378,322.9438635466971,0.5909756631563932,0.6048592900101399,0.2645565216051709,1.9956034421920776,1.0590661203614244
vpB__pietroom__holdthis__ep000002__t0037,B,541.0267729756973,330.8224455394327,0.6114714872978996,0.6682336380793593,0.2389207020718755,2.115342855453491,1.118283444226767
vpB__nbaron99__so100_pick_and_place4__ep000000__t0021,B,232.76390203712344,181.1808005050823,0.7783887403476585,0.6394320646658673,0.2187129964984692,1.0183429718017578,0.664780707070004
vpB__nbaron99__so100_pick_and_place4__ep000001__t0021,B,239.13709175153713,177.0858899045648,0.7405203793669809,0.6002544470270416,0.1778599446614672,1.3839130401611328,0.7869995335710058
